order_id,order_date,ship_date,customer_name,customer_id,customer_segment,category,product_name,product_id,region,state,city,quantity,unit_price,discount,sales_amount,cost_price,profit,stock_left,auto_reorder,reorder_quantity,supplier_name,supplier_email,payment_mode,delivery
ORD1000,2024-01-20,2024-01-21,Christopher Allen,CUST225,Home Office,Electronics,Keyboard,PROD441,West,New Jersey,Turnerside,5,3860,5,18335.0,11272.868666506356,7062.131333493644,43,No,0,"Lee, Roberts and Jenkins",alexander75@tate.com,Cash,Cancelled
ORD1001,2025-08-04,2025-08-06,Christopher Fernandez,CUST794,Consumer,Grocery,Snacks,PROD759,North,New Jersey,South Michaelfurt,9,3798,10,30763.8,23967.284000516458,6796.515999483541,20,No,0,Lopez-Grant,mitchelldavid@vega-howe.net,Net Banking,Pending
ORD1002,2024-07-09,2024-07-11,Jonathan Carter,CUST413,Home Office,Electronics,Mouse,PROD372,North,Arkansas,Stacyfurt,3,2474,10,6679.8,5113.834279490716,1565.9657205092844,8,Yes,36,Horn-Medina,xhenry@bush.com,Credit Card,Cancelled
ORD1003,2024-11-30,2024-12-02,Amanda Wilson,CUST406,Consumer,Furniture,Dining Table,PROD290,West,New Mexico,Lake Anthony,6,1545,15,7879.5,5373.609871633594,2505.8901283664063,37,No,0,Williams Inc,websterstephanie@vargas.com,Transfer,Pending
ORD1004,2025-07-04,2025-07-09,Megan Jimenez,CUST907,Home Office,Furniture,Bookshelf,PROD299,South,Wyoming,South Emmaberg,8,2677,5,20345.2,15686.444701390566,4658.755298609434,12,No,0,Hopkins Group,jamesrangel@wright.com,Transfer,Pending
ORD1005,2022-12-08,2022-12-15,Carly Stein,CUST681,Home Office,Grocery,Juice Pack,PROD216,South,Utah,Lake Victoriahaven,9,4192,0,37728.0,32331.868395099227,5396.131604900773,47,No,0,Evans Inc,kathleenguerrero@montoya.com,Transfer,Cancelled
ORD1006,2023-03-03,2023-03-05,William Sanchez,CUST374,Corporate,Office Supplies,Stapler,PROD977,North,Oklahoma,North Barbara,2,4834,5,9184.6,5839.978270281066,3344.621729718934,2,Yes,24,Aguilar-Martinez,sking@ortega.com,Transfer,Pending
ORD1007,2024-09-14,2024-09-21,Melissa Kramer,CUST708,Home Office,Office Supplies,Stapler,PROD431,East,Alaska,Coxville,10,4922,0,49220.0,41906.72109885272,7313.278901147278,21,No,0,"Ruiz, Walter and Campbell",samantha00@rivera-carter.com,Credit Card,Cancelled
ORD1008,2025-01-15,2025-01-22,Michael Phillips,CUST129,Corporate,Electronics,Keyboard,PROD538,East,Wyoming,New Jeffreymouth,6,3966,10,21416.4,18291.098941013108,3125.3010589868936,4,Yes,47,"Alexander, Russell and Diaz",bobbycastro@rice-navarro.info,Credit Card,Cancelled
ORD1009,2023-02-22,2023-02-26,Charles Lambert,CUST304,Corporate,Office Supplies,File Folder,PROD977,South,New Jersey,Lake Aliciahaven,8,1806,0,14448.0,12847.143474873777,1600.8565251262226,22,No,0,"Smith, Chandler and Rice",bmacias@jones.net,Credit Card,Cancelled
ORD1010,2024-01-26,2024-01-31,Eric Pope,CUST630,Consumer,Furniture,Study Table,PROD714,East,Arkansas,Wyatttown,1,624,10,561.6,456.1084876632618,105.4915123367382,20,No,0,"Gilmore, Price and Shannon",umatthews@may.biz,Transfer,Returned
ORD1011,2024-08-13,2024-08-18,Heather Harris,CUST881,Home Office,Electronics,Monitor,PROD692,North,Arkansas,North Mary,5,663,0,3315.0,2023.4062840156241,1291.5937159843759,37,No,0,"Reed, Soto and Barrett",stevenjames@anderson-kennedy.biz,Transfer,Returned
ORD1012,2022-12-10,2022-12-12,Amanda Wright,CUST639,Corporate,Office Supplies,Pen,PROD837,West,Wyoming,Jennyfurt,1,2565,10,2308.5,1740.7325016818977,567.7674983181023,13,No,0,Smith PLC,katrinaclark@williams.com,Transfer,Delivered
ORD1013,2025-09-03,2025-09-06,Suzanne Henry,CUST151,Corporate,Electronics,Headphones,PROD601,South,Iowa,Pratthaven,7,3555,5,23640.75,20962.27646579348,2678.4735342065214,11,No,0,"Evans, Joseph and Sweeney",prussell@grant.info,Net Banking,Returned
ORD1014,2023-06-12,2023-06-19,Juan Schmidt,CUST986,Home Office,Furniture,Sofa,PROD675,South,Utah,Kristinfurt,5,818,15,3476.5,2327.61267876305,1148.88732123695,27,No,0,Murphy Inc,alee@wilson.biz,Transfer,Pending
ORD1015,2024-06-20,2024-06-26,Amber Harrington,CUST871,Corporate,Electronics,Laptop,PROD163,West,Georgia,Jennifermouth,3,4358,5,12420.3,10490.367248553239,1929.9327514467604,13,No,0,Miller LLC,daniel27@stewart-wallace.com,Transfer,Delivered
